Token,POS
Laolla,V
foromo,N09
ya,CPOSS09
kopo,N09
ho,PART
inthanethe,N09
kapa,CONJ
e,CO09
fumane,V
ofising,N09
e,CS09
haufi,NLOC
ya,CPOSS09
SARS,RK
.,ZE
,
Foromo,N09
ya,CPOSS09
kopo,N09
e,CS09
tlameha,VAUX
ho,CN15
tlatswa,V
ke,PART
mokopi,N01
mme,CONJ
e,CS09
seng,MNEG
ke,PART
motho,N01
wa,CPOSS01
boraro,N14
",",ZM
ho,CSINDEF
seng,MNEG
jwalo,ADV
kopo,N09
e,CS09
ka,MNEG
se,MNEG
elwe,V
hloko,N09
.,ZE
,
Thusa,V
o,CSPERS
tadime,V
ho,PART
tataiso,N09
ya,CPOSS09
ho,CN15
etsa,V
kopo,N09
ho,CN15
o,COPERS
thusa,V
tshebetsong,N09
ya,CPOSS09
laesense,N09
.,ZE
,
Karolong,N09
ya,CPOSS09
Client,RV
Types,RV
(,ZPL
Mefuta,N04
ya,CPOSS04
Basebedisi,N02
),ZPR
:,ZM
,
sheba,V
lebokoseng,N05
la,CPOSS05
Manufacturer,RV
for,RV
AGOA,RK
(,ZPL
Mofaboriki,N01
wa,CPOSS01
AGOA,RK
),ZPR
tlasa,NLOC
ngodiso,N09
.,ZE
,
Karolong,N09
ya,CPOSS09
Manufacturer,RV
for,RV
AGOA,RK
Particulars,RV
(,ZPL
Dintlha,N10
tsa,CPOSS10
Mofaboriki,N01
wa,CPOSS01
AGOA,RK
),ZPR
",",ZM
di,CS10
batla,V
,
lebitso,N05
la,CPOSS05
kgwebo,N09
la,CPOSS05
mosebetsi,N03
wa,CPOSS03
hao,PROPOSSPERS
,
sebaka,N07
seo,CD07
mosebetsi,N03
wa,CPOSS03
hao,PROPOSSPERS
o,CS03
emeng,V
ho,PART
sona,PROEMP07
(,ZPL
mohlala,N03
",",ZM
Poloto10,N09
),ZPR
,
lebitso,N05
la,CPOSS05
seterata,N07
le,PART
nomoro,N09
ya,CPOSS09
mosebetsi,N03
,
motsana,N03
oo,CD03
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
ona,PROEMP03
,
toropo,N09
e,ADJC09
kgolo,ADJ09
kapa,CONJ
toropo,N09
moo,CD18
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
yona,PROEMP09
;,ZM
le,PART
,
khoutu,N09
ya,CPOSS09
seterata,N07
sa,CPOSS07
motsana,N03
oo,CD03
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
wona,PROEMP03
.,ZE
,
Karolo,N09
ya,CPOSS09
Authority,RV
to,RV
Apply,RV
(,ZPL
Matla,N06
a,CPOSS06
ho,CN15
etsa,V
Kopo,N09
),ZPR
e,CS09
tlameha,VAUX
ho,CN15
tlatswa,V
ke,PART
monga,N01
kgwebo,N09
ya,CS01
ikemetseng,V
a,CS01
le,VCOP
inotshi,N09
",",ZM
molaodi,N01
",",ZM
balekane,N02
",",ZM
setho,N07
",",ZM
molebedi,N01
wa,CPOSS01
traste,N09
kapa,CONJ
motho,N01
ya,CS01
okametseng,V
kgwebo,N09
ha,CONJ
o,CSPERS
etsa,V
kopo,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
(,ZPL
custom,RV
and,RV
excise,RV
),ZPR
lekgetho,N05
le,PART
lekgetho,N05
la,CPOSS05
thepa,N09
ya,CPOSS09
lehae,N05
bakeng,N07
sa,CPOSS07
mofaboriki,N01
ya,CS01
kgethehileng,V
wa,CPOSS01
AGOA,RK
.,ZE
,
Lebitso,N05
la,CPOSS05
mokopi,N01
kapa,CONJ
lebitso,N05
la,CPOSS05
ngodiso,N09
ya,CPOSS09
mosebetsi,N03
mme,CONJ
e,CSNEUT
seng,MNEG
lebitso,N05
la,CPOSS05
kgwebo,N09
le,CS05
tlameha,VAUX
ho,CN15
hlahella,V
karolong,N09
ena,CD09
.,ZE
,
moo,CD18
ho,CSINDEF
hlahang,V
asterisk,RV
(,ZPL
*,RS
),ZPR
(,ZPL
naletsana,N09
),ZPR
",",ZM
hlakola,V
le,PART
efe,ENUM
e,CS09
sa,MNEG
hlokahaleng,V
.,ZE
,
Karolong,N09
ya,CPOSS09
Declaration,RV
(,ZPL
Phatlalatso,N09
),ZPR
",",ZM
bolela,V
tse,CS10
latelang,V
:,ZM
,
ditlhaku,N10
tsa,CPOSS10
pele,NLOC
tsa,CPOSS10
mabitso,N06
le,PART
fane,N09
ya,CPOSS09
motho,N01
ya,CS01
etsang,V
kopo,N09
ya,CPOSS09
laesense,N09
,
maemo,N06
a,CS06
motho,N01
ya,CS01
etsang,V
kopo,N09
",",ZM
mohlala,N03
",",ZM
Molaodi,N01
",",ZM
Mookamedi,N01
",",ZM
Monga,N01
,
motho,N01
ya,CS01
etsang,V
kopo,N09
o,CS01
tlameha,VAUX
ho,CN15
saena,V
foromo,N09
ya,CPOSS09
kopo,N09
,
letsatsi,N05
leo,CD05
kopo,N09
e,CS09
saennweng,V
ka,PART
lona,PROEMP05
,
sebaka,N07
seo,CD07
kopo,N09
e,CS09
saennweng,V
ho,PART
sona,PROEMP07
.,ZE
,
Tlatsa,V
foromo,N09
ya,CPOSS09
kopo,N09
mme,CONJ
o,CSPERS
e,CO09
romele,V
ofising,N09
e,CS09
haufi,NLOC
ya,CPOSS09
South,RV
African,RV
Revenue,RV
Service,RV
Customs,RV
and,RV
Excise,RV
.,ZE
,
Hokela,V
foromong,N09
ya,CPOSS09
kopo,N09
ditokomane,N10
tse,CS10
latelang,V
tsa,CPOSS10
sethatho,N07
kapa,CONJ
dikopi,N10
tse,CS10
tiiseleditsweng,V
:,ZM
,
lengolo,N05
la,CPOSS05
bopaki,N14
la,CPOSS05
ngodiso,N09
ya,CPOSS09
kgwebo,N09
jwalo,ADV
ka,PART
ha,CONJ
le,CS05
ntshitswe,V
ke,PART
Registrar,RV
of,RV
Companies,RV
(,ZPL
Mongodisi,N01
wa,CPOSS01
Dikhampani,N10
),ZPR
kapa,CONJ
Master,RV
of,RV
the,RV
Supreme,RV
Court,RV
(,ZPL
Moabi,N01
wa,CPOSS01
Mafa,N06
),ZPR
ha,CONJ
e,CS09
le,PART
Traste,N09
.,ZE
,
qeto,N09
kapa,CONJ
tumello,N09
kapa,CONJ
bolaodi,N14
bo,ADJC14
bong,ADJ14
ho,CN15
ya,V
ka,PART
moo,CD18
ho,CSINDEF
hlokehang,V
,
tumello,N09
ha,CONJ
e,CS09
hlokahala,V
ya,CPOSS09
Department,RV
of,RV
Trade,RV
and,RV
Industry,RV
(,ZPL
Lefapha,N05
la,CPOSS05
Kgwebo,N09
le,PART
Indasteri,N09
),ZPR
,
fomula,N09
ha,CONJ
o,CSPERS
etsa,V
kopo,N09
tlasa,NLOC
pusetso,N09
ya,CPOSS09
karolo,N09
607.04.10(02),RV
",",ZM
607.04.10(03),RV
",",ZM
607.04.10(09),RV
le,PART
607.04.10(12),RV
,
tokomane,N09
ya,CPOSS09
boitsebiso,N14
ha,CONJ
o,CSPERS
le,VCOP
moahi,N01
wa,CPOSS01
Afrika,N09
Borwa,N14
,
ditokomane,N10
tsa,CPOSS10
pasepoto,N09
ha,CONJ
:,ZM
,
motho,N01
eo,CD01
e,CSNEUT
seng,MNEG
modudi,N01
,
Koporasi,N09
ya,CPOSS09
batho,N02
ba,CPOSS02
mmalwa,N03
(,ZPL
cc,RL
),ZPR
le,PART
traste,N09
-,RS
ditho,N08
tsohle,PROQUANT08
",",ZM
balekane,N02
kapa,CONJ
balebedi,N02
ba,CPOSS02
traste,N09
,
khampani,N09
-,RS
balaodi,N02
bohle,PROQUANT02
",",ZM
ho,CN15
kenyeletsa,V
le,PART
molaodi,N01
ya,CS01
okametseng,V
le,PART
molaodi,N01
wa,CPOSS01
ditjhelete,N10
.,ZE
,
Crime,RV
Stop,RV
(,ZPL
Thibelo,N09
ya,CPOSS09
Botlokotsebe,N14
),ZPR
ke,VCOP
ditsi,N08
tse,CS08
fapaneng,V
tseo,CD08
o,CSPERS
letsetsang,V
ho,PART
tsona,PROEMP08
tseo,CD08
boikarabelo,N14
ba,CPOSS14
tsona,PROPOSS08
e,CS09
leng,VCOP
ho,CN15
bokella,V
dintlha,N10
setjhabeng,N07
mabapi,ADV
le,PART
ba,CS02
etsang,V
botlokotsebe,N14
mmoho,ADV
le,PART
mesebetsi,N04
ya,CPOSS04
bona,PROPOSS02
.,ZE
,
Ditho,N08
tsa,CPOSS08
setjhaba,N07
di,CS08
thuswa,V
ke,PART
basebetsi,N02
ba,CPOSS02
ditsing,N08
tsena,CD08
tseo,CD08
o,CSPERS
letsetsang,V
ho,PART
tsona,PROEMP08
ba,CS02
rupelletsweng,V
hantle,ADV
haholo,ADV
ditabeng,N10
tsa,CPOSS10
dipuisano,N10
tsa,CPOSS10
ho,CN15
etsa,V
dipatlisiso,N10
.,ZE
,
Hona,PROEMPLOC
ho,CN15
o,COPERS
dumella,V
hore,CONJ
o,CSPERS
tsebise,V
ba,CPOSS02
Ditshebeletso,N10
tsa,CPOSS10
Sepolesa,N07
sa,CPOSS07
Afrika,N09
Borwa,N14
ka,PART
mesebetsi,N04
ya,CPOSS04
bao,CD02
ba,CS02
etsang,V
botlokotsebe,N14
ka,PART
tsela,N09
e,CS09
bolokehileng,V
hape,ADV
e,CS09
se,MNEG
nang,VCOP
tshabiso,N09
.,ZE
,
O,CSPERS
ka,MORPHPOT
dula,V
o,CSPERS
sa,MNEG
hlahise,V
lebitso,N05
la,CPOSS05
hao,PROPOSSPERS
ha,CONJ
o,CSPERS
batla,V
.,ZE
,
Ba,CS02
latelang,V
mehlala,N04
ya,CPOSS04
batho,N02
mmoho,ADV
le,PART
di-agent,N10
tse,CS10
shebaneng,V
le,PART
boitsebiso,N14
ba,CPOSS14
bao,CD02
ba,CS02
letsang,V
ha,CONJ
ba,CS02
dumellwa,V
ho,PART
Crime,RV
Stop,RV
bakeng,N07
sa,CPOSS07
ho,CN15
tiisetsa,V
hore,CONJ
bao,CD02
ba,CS02
fanang,V
ka,PART
lesedi,N05
ha,CONJ
ba,CS02
tsejwe,V
.,ZE
,
Tlhahisoleseding,N09
eo,CD09
ho,CSINDEF
fanwang,V
ka,PART
yona,PROEMP09
e,CS09
romelwa,V
mafokising,N06
.,ZE
,
Ela,V
hloko,N09
:,ZM
hona,PROEMPLOC
ho,CSINDEF
etswa,V
feela,ADV
ka,PART
tumello,N09
ya,CPOSS09
hao,PROPOSSPERS
.,ZE
,
O,CSPERS
ka,MORPHPOT
tlaleha,V
hape,ADV
le,PART
ketso,N09
tsa,CPOSS10
botlokotsebe,N14
ka,PART
mokgwa,N03
wa,CPOSS03
elektroniki,N09
weposaeteng,N09
ya,CPOSS09
South,RV
African,RV
Police,RV
Service,RV
(,ZPL
SAPS,RL
),ZPR
oo,CD03
hape,ADV
o,CSPERS
tiisetsang,V
le,PART
ho,CN15
se,MNEG
tsejwe,V
ha,CONJ
motho,N01
ya,CS01
tlalehang,V
",",ZM
ntle,NLOC
le,PART
haebe,CONJ
ho,CSINDEF
boletswe,V
ka,PART
mokgwa,N03
o,ADJC03
mong,ADJ03
.,ZE
,
Letsetsa,V
nomoro,N09
ya,CPOSS09
Crime,RV
Stop,RV
e,CS09
leng,VCOP
08600,RV
10,RV
111,RV
.,ZE
,
Agent,RV
ya,CPOSS09
call,RV
centre,RV
e,CS09
tla,V
ho,CN15
tataisa,V
dipotsong,N10
mme,CONJ
ha,CONJ
tlhahisoleseding,N09
eo,CD09
o,CSPERS
faneng,V
ka,PART
yona,PROEMP09
e,CS09
ka,MORPHPOT
sebediswa,V
",",ZM
o,CS01
tla,V
ho,CN15
neha,V
khoutu,N09
eo,CD09
e,CS09
leng,VCOP
ya,CPOSS09
hao,PROPOSSPERS
o,CSPERS
le,VCOP
mong,ADJ01
.,ZE
,
Haebe,CONJ
tlhahisoleseding,N09
eo,CD09
ha,CONJ
eso,MNEG
be,VCOP
le,PART
molemo,N03
ka,PART
nako,N09
eo,CD09
",",ZM
agent,RV
e,CS09
tla,MORPHFUT
hlalosa,V
lebaka,N05
e,CSNEUT
be,VCOP
e,CSNEUT
ho,CN15
eletsa,V
hore,CONJ
o,CSPERS
ka,MORPHPOT
fumana,V
jwang,QUE
dintlha,N10
tse,ADJC10
ding,ADJ10
.,ZE
,
Tlhahisoleseding,N09
e,CS09
sebedisehang,V
e,CS09
amahangwa,V
le,PART
nomoro,N09
ya,CPOSS09
khoutu,N09
eo,CD09
o,CSPERS
e,CO09
fuweng,V
.,ZE
,
O,CSPERS
tla,MORPHFUT
kotjwa,V
hore,CONJ
o,CSPERS
letsetse,V
mohala,N03
ho,PART
Crime,RV
Stop,RV
nomorong,N09
ena,CD09
08600,RV
10,RV
111,RV
nakong,N09
eo,CD09
o,CSPERS
tla,MORPHFUT
e,CO09
bolellwa,V
hore,CONJ
o,CSPERS
botse,V
hore,CONJ
na,QUE
dintlha,N10
tseo,CD10
di,CS10
a,MORPHPRES
sebetsa,V
le,PART
hore,CONJ
na,QUE
o,CSPERS
a,MORPHPRES
tshwaneleha,V
bakeng,N07
sa,CPOSS07
moputso,N03
.,ZE
,
(,ZPL
ha,CONJ
o,CSPERS
kopile,V
moputso,N03
),ZPR
,
Nakong,N09
e,CS09
tlang,V
",",ZM
agent,RV
e,CS09
tla,MORPHFUT
bua,V
le,PART
wena,PROEMPPERS
ka,PART
nyewe,N09
feela,ADV
haebe,CONJ
nomoro,N09
ya,CPOSS09
khoutu,N09
eo,CD09
o,CSPERS
faneng,V
ka,PART
yona,PROEMP09
e,CS09
nepahetse,V
mme,CONJ
le,PART
boitsebiso,N14
ba,CPOSS14
hao,PROPOSSPERS
bo,CS14
tsamaelana,V
le,PART
"""",ZPL
profaele,N09
"""",ZPL
e,CCOP09
rekotong,N09
.,ZE
,
Agent,RV
e,CS09
tla,MORPHFUT
kgaola,V
mohala,N03
ka,PART
potlako,N09
haebe,CONJ
a,CS01
kgotsofetse,V
hore,CONJ
ha,MNEG
o,CSPERS
motho,N01
eo,CD09
a,CS01
neng,VAUX
a,CS01
bua,V
le,PART
yena,PROEMP01
pejana,NLOC
.,ZE
,
Hona,PROEMPLOC
ke,VCOP
mohato,N03
wa,CPOSS03
tshireletso,N09
mme,CONJ
o,CS03
ke,MNEG
ke,MNEG
wa,CS03
fetolwa,V
.,ZE
,
Ha,CONJ
o,CSPERS
tlaleha,V
botlokotsebe,N14
ka,PART
mokgwa,N03
wa,CPOSS03
elektroniki,N09
",",ZM
tlatsa,V
foromo,N09
ya,CPOSS09
ho,CN15
fuwa,V
maikutlo,N06
(,ZPL
feedback,RV
form,RV
),ZPR
weposaeteng,N09
ya,CPOSS09
SAPS,RL
.,ZE
,
Ho,CSINDEF
tla,MORPHFUT
hlaha,V
nomoro,N09
ya,CPOSS09
referense,N09
hang,ADV
ho,CN15
ba,VCOP
o,CSPERS
romele,V
foromo,N09
.,ZE
,
Crime,RV
Stop,RV
e,CS09
tla,MORPHFUT
hokahana,V
le,PART
yuniti,N09
e,CS09
tshwanetseng,V
ya,CPOSS09
dipatlisiso,N10
bakeng,N07
sa,CPOSS07
ho,CN15
sala,V
taba,N09
morao,NLOC
",",ZM
ka,PART
kopo,N09
ya,CPOSS09
hore,CONJ
ba,CS02
fane,V
ka,PART
tlaleho,N09
ya,CPOSS09
ho,CN15
qala,V
dihoreng,N10
tse,ADJC10
24,RV
mme,CONJ
sephetho,N07
sa,CPOSS07
diphuputso,N10
sona,PROEMP07
se,CS07
tswe,V
ka,PART
potlako,N09
ka,PART
ho,CN15
ya,V
ka,PART
moo,CD18
ho,CSINDEF
ka,MORPHPOT
kgonehang,V
,
Ha,CONJ
o,CSPERS
tshwaneleha,V
mme,CONJ
hape,ADV
o,CSPERS
kopile,V
moputso,N03
",",ZM
mofuputsi,N01
o,CS01
tla,MORPHFUT
beha,V
moputso,N03
le,PART
tshebetso,N09
ya,CPOSS09
ho,CN15
tleleima,V
ka,PART
ho,CN15
ya,V
ka,PART
National,RV
Information,RV
2,RV
/,RS
2001,RV
.,ZE
,
Ha,CONJ
moputso,N03
o,CS03
se,VAUX
o,CS03
lokile,V
",",ZM
ba,CPOSS02
Crime,RV
Stop,RV
ba,CS02
tla,MORPHFUT
iteanya,V
le,PART
wena,PROEMPPERS
ho,CN15
hlophisetsa,V
ho,CN15
leshwa,V
.,ZE
,
Ke,CSPERS
eme,V
ka,PART
pele,NLOC
ho,PART
lona,PROEMPPERS
bosiung,N14
bona,CD14
",",ZM
dilemong,N08
tse,ADJC08
20,RV
ho,CN15
tloha,V
ha,CONJ
Mopresidente,N01
Nelson,N01a
Rolihlahla,N01a
Mandela,N01a
a,CS01
ne,VAUX
a,CS01
tswa,V
kgolehong,N09
.,ZE
,
Re,CSPERS
kgethile,V
letsatsi,N05
lena,CD05
e,CSNEUT
le,VCOP
la,CPOSS05
ho,CN15
bitsa,V
Palamente,N09
ya,CPOSS09
Kopanelo,N09
ho,CN15
etsa,V
puo,N09
e,CS09
mabapi,ADV
le,PART
Maemo,N06
a,CPOSS06
Setjhaba,N07
",",ZM
ho,CN15
keteka,V
motsotso,N03
ona,CD03
wa,CPOSS03
bohlokwa,N14
o,CS03
fetotseng,V
naha,N09
ya,CPOSS09
rona,PROPOSSPERS
.,ZE
,
Ho,CN15
lokollwa,V
ha,CPOSS15
Madiba,N01a
ho,CN15
tlisitswe,V
ke,PART
boitseko,N14
bo,CS14
matla,N06
ba,CPOSS14
batho,N02
ba,CPOSS14
Aforika,NPP
Borwa,N14
.,ZE
,
Batshwaruwa,N02
ba,CPOSS02
dipolotiki,N10
ba,CPOSS14
mehleng,N04
le,PART
mekaubere,N04
e,CS04
teng,PROEMPLOC
kwano,ADV
e,CS04
bile,VCOP
dipaki,N10
tsa,CPOSS10
seo,CD07
hobane,CONJ
e,CS04
ne,VAUX
le,VCOP
karolo,N09
ya,CPOSS09
taba,N09
eo,CD09
.,ZE
,
Le,CSPERS
tla,MORPHFUT
hopola,V
e,CSNEUT
le,VCOP
ka,PART
nnete,N09
hore,CONJ
boholo,N14
ba,CPOSS14
batho,N02
naheng,N09
ena,CD09
",",ZM
ka,PART
mekgahlelo,N04
e,CS09
fapaneng,V
",",ZM
bo,CS14
ile,VAUX
ba,CS14
arabela,V
ka,PART
maikemisetso,N06
kgoeletso,N09
ya,CPOSS09
ho,CN15
hlokisa,V
naha,N09
botsitso,N14
le,PART
ho,CN15
etsa,V
bonnete,N14
ba,CPOSS14
hore,CONJ
kgethollo,N09
ha,MNEG
e,CS09
sebetse,V
.,ZE
,
Re,CSPERS
keteka,V
letsatsi,N05
lena,CD05
le,PART
batshwaruwa,N02
ba,CPOSS02
mehleng,N04
ba,CPOSS02
dipolotiki,N10
bao,CD02
re,CSPERS
ba,CO02
memmeng,V
ka,PART
ho,CN15
ikgetha,V
hore,CONJ
ba,CS02
be,VCOP
le,PART
rona,PROEMPPERS
.,ZE
,
Re,CSPERS
amohela,V
ka,PART
ho,CN15
ikgetha,V
ba,CS02
tswang,V
mose,ADV
hore,CONJ
ba,CS02
be,VCOP
le,PART
rona,PROEMPPERS
mona,CD18
",",ZM
Helene,N01a
Pastoors,N01a
",",ZM
Michael,N01a
Dingake,N01a
wa,CPOSS01
Botswana,NPP
",",ZM
Monghadi,N01a
Andimba,N01a
Toivo,N01a
ya,CPOSS09
Toivo,N01a
wa,CPOSS01
Swapo,N09
ya,CPOSS09
Namibia,NPP
.,ZE
,
Re,CSPERS
thabetse,V
hore,CONJ
ditho,N08
tsa,CPOSS08
moifo,N03
wa,CPOSS03
molao,N03
wa,CPOSS03
nyewe,N09
ya,CPOSS09
Bohlabaphio,N14
ya,CPOSS09
Rivonia,NPP
di,CS08
be,VCOP
le,PART
rona,PROEMPPERS
;,ZM
Lord,RV
Joel,N01a
Joffe,N01a
",",ZM
ya,CS01
seng,VAUX
a,CS01
ahile,V
London,NPP
le,PART
Moahlodi,N01
Arthur,N01a
Chaskalson,N01a
.,ZE
,
Hape,ADV
re,CSPERS
hopola,V
le,PART
ho,CN15
lebisa,V
hlompho,N09
ho,PART
Monghadi,N01a
Harry,N01a
Schwarz,RK
",",ZM
ya,CS01
hlokahetseng,V
beke,N09
e,CS09
fetileng,V
.,ZE
,
Hara,NLOC
ditho,N08
kaofela,ADV
",",ZM
e,CS09
ne,VAUX
e,CS09
le,VCOP
setho,N07
sa,CPOSS07
moifo,N03
wa,CPOSS03
tshireletso,N09
wa,CPOSS03
nyewe,N09
ya,CPOSS09
Rivonia,NPP
.,ZE
,
Re,CSPERS
isa,V
diteboho,N10
ho,PART
metswalle,N04
le,PART
bomphato,N02b
ba,CPOSS02
matjhabeng,N06
",",ZM
bakeng,N07
sa,CPOSS07
ho,CN15
thusa,V
ntweng,N09
ya,CPOSS09
rona,PROPOSSPERS
ya,CPOSS09
ho,CN15
fihlella,V
tokoloho,N09
.,ZE
,
Re,CSPERS
isa,V
kamohelo,N09
e,CS09
ikgethang,V
ho,PART
lelapa,N05
la,CPOSS05
ha,CPOSSLOC
Mandela,N01a
.,ZE
,
Lelapa,N05
lena,CD05
e,CSNEUT
bile,VCOP
letshwao,N05
la,CPOSS05
ho,CN15
intsha,V
sehlabelo,N07
ho,PART
bohle,PROQUANT02
ba,CS02
utlwileng,V
bohloko,N14
ka,PART
kgethollo,N09
.,ZE
,
Re,CSPERS
isa,V
madume,N06
ho,PART
boetapele,N14
ba,CPOSS14
mokga,N03
o,CS03
busang,V
le,PART
bomphato,N02b
ba,CPOSS02
bona,PROPOSS02
",",ZM
bao,CD02
ho,PART
bona,PROEMP02
morero,N03
ono,CD03
e,CSNEUT
leng,VCOP
wa,CPOSS03
bohlokwa,N14
